"filename", "language", "C", "C++", "Markdown", "comment", "blank", "total"
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_cmd/helpers.c", "C", -25, 0, 0, -11, -7, -43
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_cmd/memory.c", "C", -22, 0, 0, -11, -4, -37
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_cmd/minishell.h", "C++", 0, -89, 0, -18, -13, -120
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_cmd/var_funcs.c", "C", -44, 0, 0, -11, -8, -63
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_cmd_line/.i_am.c", "C", -56, 0, 0, -11, -4, -71
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_cmd_line/check_parsing.c", "C", -78, 0, 0, -11, -9, -98
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_cmd_line/cmd_funcs.c", "C", -13, 0, 0, -11, -3, -27
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_cmd_line/create_error.c", "C", -22, 0, 0, -11, -3, -36
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_cmd_line/expand.c", "C", -57, 0, 0, -11, -10, -78
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_cmd_line/get_arg.c", "C", -73, 0, 0, -11, -8, -92
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_cmd_line/get_argv_len.c", "C", -56, 0, 0, -11, -7, -74
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_cmd_line/get_cmd.c", "C", -26, 0, 0, -11, -4, -41
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_cmd_line/get_cmd_line.c", "C", -21, 0, 0, -11, -4, -36
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_cmd_line/get_redir.c", "C", -82, 0, 0, -11, -9, -102
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_cmd_line/get_redir_utils.c", "C", -37, 0, 0, -13, -5, -55
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_cmd_line/helpers.c", "C", -25, 0, 0, -11, -7, -43
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_cmd_line/memory.c", "C", -30, 0, 0, -11, -5, -46
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_cmd_line/minishell.h", "C++", 0, -93, 0, -20, -12, -125
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_cmd_line/var_funcs.c", "C", -44, 0, 0, -11, -8, -63
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_line/.main.c", "C", -31, 0, 0, -11, -4, -46
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_line/create_error.c", "C", -35, 0, 0, -11, -5, -51
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_line/get_line.c", "C", -52, 0, 0, -11, -5, -68
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_line/get_line.h", "C++", 0, -60, 0, -11, -10, -81
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_line/get_line_utils.c", "C", -49, 0, 0, -11, -6, -66
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_redir/.i_am.c", "C", -44, 0, 0, -11, -3, -58
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_redir/create_error.c", "C", -18, 0, 0, -11, -3, -32
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_redir/expand.c", "C", -32, 0, 0, -11, -6, -49
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_redir/get_redir.c", "C", -82, 0, 0, -11, -9, -102
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_redir/get_redir_utils.c", "C", -34, 0, 0, -13, -5, -52
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_redir/helpers.c", "C", -30, 0, 0, -11, -8, -49
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_redir/helpers2.c", "C", -5, 0, 0, -11, -2, -18
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_redir/memory.c", "C", -9, 0, 0, -11, -3, -23
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_redir/minishell.h", "C++", 0, -83, 0, -16, -13, -112
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_redir/var_funcs.c", "C", -44, 0, 0, -15, -8, -67
"/home/allmighty/42/github/minishell/microchibre/microchibre0/cmd_funcs.c", "C", -15, 0, 0, -11, -3, -29
"/home/allmighty/42/github/minishell/microchibre/microchibre0/create_error.c", "C", -35, 0, 0, -11, -5, -51
"/home/allmighty/42/github/minishell/microchibre/microchibre0/exec_cmd_line.c", "C", -81, 0, 0, -12, -8, -101
"/home/allmighty/42/github/minishell/microchibre/microchibre0/expand.c", "C", -57, 0, 0, -11, -10, -78
"/home/allmighty/42/github/minishell/microchibre/microchibre0/get_arg.c", "C", -73, 0, 0, -11, -8, -92
"/home/allmighty/42/github/minishell/microchibre/microchibre0/get_argv_len.c", "C", -55, 0, 0, -11, -7, -73
"/home/allmighty/42/github/minishell/microchibre/microchibre0/get_cmd_line.c", "C", -68, 0, 0, -11, -8, -87
"/home/allmighty/42/github/minishell/microchibre/microchibre0/get_hdoc.c", "C", -89, 0, 0, -11, -10, -110
"/home/allmighty/42/github/minishell/microchibre/microchibre0/get_redir.c", "C", -85, 0, 0, -11, -9, -105
"/home/allmighty/42/github/minishell/microchibre/microchibre0/get_redir_utils.c", "C", -29, 0, 0, -11, -5, -45
"/home/allmighty/42/github/minishell/microchibre/microchibre0/go_to_end_of.c", "C", -47, 0, 0, -11, -6, -64
"/home/allmighty/42/github/minishell/microchibre/microchibre0/helpers.c", "C", -25, 0, 0, -11, -7, -43
"/home/allmighty/42/github/minishell/microchibre/microchibre0/main.c", "C", -45, 0, 0, -11, -9, -65
"/home/allmighty/42/github/minishell/microchibre/microchibre0/memory.c", "C", -44, 0, 0, -11, -6, -61
"/home/allmighty/42/github/minishell/microchibre/microchibre0/minishell.h", "C++", 0, -124, 0, -22, -14, -160
"/home/allmighty/42/github/minishell/microchibre/microchibre0/pipes_utils.c", "C", -42, 0, 0, -11, -6, -59
"/home/allmighty/42/github/minishell/microchibre/microchibre0/var_funcs.c", "C", -44, 0, 0, -11, -8, -63
"/home/tpanou-d/Documents/github/minishell/dr_mizumis_lab/get_line/.main.c", "C", 27, 0, 0, 20, 4, 51
"/home/tpanou-d/Documents/github/minishell/dr_mizumis_lab/get_line/create_error.c", "C", 35, 0, 0, 11, 5, 51
"/home/tpanou-d/Documents/github/minishell/dr_mizumis_lab/get_line/get_line.c", "C", 176, 0, 0, 13, 21, 210
"/home/tpanou-d/Documents/github/minishell/dr_mizumis_lab/get_line/get_line.h", "C", 91, 0, 0, 11, 11, 113
"/home/tpanou-d/Documents/github/minishell/dr_mizumis_lab/get_line/get_line_utils.c", "C", 45, 0, 0, 17, 9, 71
"/home/tpanou-d/Documents/github/minishell/dr_mizumis_lab/get_line/line_editing.c", "C", 15, 0, 0, 11, 5, 31
"/home/tpanou-d/Documents/github/minishell/dr_mizumis_lab/get_line/memory.c", "C", 22, 0, 0, 11, 4, 37
"/home/tpanou-d/Documents/github/minishell/dr_mizumis_lab/get_line/output_editing.c", "C", 54, 0, 0, 12, 8, 74
"Total", "-", -3295, -760, -2, -1014, -577, -5648
